LOCATION,latitude,longitude,incidence,RISK,100,cfr,Z,NEW CASES,TOTAL CASES,NEW DEATHS,TOTAL DEATHS,rank
Brown|Indiana|US,39.19605589,-86.22868909,443.9438113,0,0,2.43902439,0,0,82,0,2,1
Crawford|Indiana|US,38.28814402,-86.44518825,378.1790678,0,0,0,0,-1,55,0,0,1
Jennings|Indiana|US,38.99588883,-85.62710784,731.9271678,0,0,4.918032787,0,0,244,0,12,1
Newton|Indiana|US,40.95610449,-87.39635768,772.3112128,0,0,7.936507937,0,0,126,0,10,1
Ohio|Indiana|US,38.955305,-84.96515993,714.893617,0,0,10,0,-1,70,0,7,1
Perry|Indiana|US,38.07809328,-86.63741946,886.8485576,0,0,6.701030928,0,-2,194,0,13,1
Pulaski|Indiana|US,41.04166107,-86.69890683,566.6639683,0,0,1.098901099,0,0,91,0,1,1
Unassigned|Indiana|US, nil, nil,#N/A,0,0,0,0,0,0,1,217,1
Union|Indiana|US,39.62550777,-84.92497066,396.9379076,0,0,0,0,0,52,0,0,1
Adams|Iowa|US,41.02903567,-94.69932645,416.4353137,0,0,0,0,0,20,0,0,1
Buchanan|Iowa|US,42.4709188,-91.83510825,486.4226682,0,0,0.613496933,0,-1,163,0,1,1
Clarke|Iowa|US,41.02868181,-93.78499767,1820.117084,0,0,1.395348837,0,0,215,0,3,1
Clay|Iowa|US,43.08247182,-95.15096481,1048.951049,0,0,0.873362445,0,0,229,1,2,1
Decatur|Iowa|US,40.73742757,-93.78645949,254.1296061,0,0,0,0,0,32,0,0,1
Floyd|Iowa|US,43.0600053,-92.78940097,#N/A,0,0,1.639344262,0,0,183,0,3,1
Howard|Iowa|US,43.35671042,-92.31702714,513.2124918,0,0,0,0,0,83,0,0,1
Keokuk|Iowa|US,41.33649833,-92.1785067,273.2773765,0,0,2.173913043,0,0,46,0,1,1
Kossuth|Iowa|US,43.20405458,-94.20691791,513.0628502,0,0,0,0,0,110,0,0,1
Louisa|Iowa|US,41.21842119,-91.26102611,3416.402356,0,0,3.674540682,0,-1,381,0,14,1
Lucas|Iowa|US,41.02958964,-93.32780803,476.744186,0,0,5.063291139,0,0,79,0,4,1
Pocahontas|Iowa|US,42.73420133,-94.67862564,1707.206527,0,0,1.652892562,0,0,121,0,2,1
Ringgold|Iowa|US,40.73518949,-94.24368535,449.5300368,0,0,3.448275862,0,0,29,0,1,1
Shelby|Iowa|US,41.6850066,-95.31015553,1300.855596,0,0,0.487804878,0,0,205,0,1,1
Tama|Iowa|US,42.07991767,-92.53266945,3156.520707,0,0,4.982817869,0,0,582,0,29,1
Taylor|Iowa|US,40.73710579,-94.69778563,1519.359582,0,0,0,0,0,105,0,0,1
Unassigned|Iowa|US, nil, nil,#N/A,0,0,0,0,-4,4,0,0,1
Union|Iowa|US,41.0277278,-94.24234847,547.3409035,0,0,3.333333333,0,0,90,0,3,1
Van Buren|Iowa|US,40.75326764,-91.95017958,397.5014196,0,0,2.222222222,0,0,45,0,1,1
Washington|Iowa|US,41.33577126,-91.71725711,1292.966082,0,0,3.164556962,0,0,316,0,10,1
Allen|Kansas|US,37.88582951,-95.30030847,113.1861913,0,0,0,0,0,20,0,0,1
Anderson|Kansas|US,38.21413251,-95.29272815,330.8729957,0,0,0,0,0,32,0,0,1
Barber|Kansas|US,37.2288586,-98.68460053,90.35464197,0,0,0,0,0,5,0,0,1
Barton|Kansas|US,38.47889676,-98.75636726,403.4291478,0,0,1.851851852,0,0,216,0,4,1
Bourbon|Kansas|US,37.85508555,-94.84865997,447.2271914,0,0,2.43902439,0,0,82,0,2,1
Brown|Kansas|US,39.82652589,-95.56421698,334.5880385,0,0,0,0,0,59,0,0,1
Butler|Kansas|US,37.78134351,-96.83878537,279.4757215,0,0,0.529100529,0,0,378,0,2,1
Chase|Kansas|US,38.30292938,-96.59563862,226.5861027,0,0,0,0,0,58,0,0,1
